IP Address,TimeStamp,Transfer(s1),s2,s3,s4,s5,Priority,Membership
153.241.0.9,01-01-2023 2.55,3.361,1.109,2.252,2.13,1.231,4,Premium Membership
171.203.4.20,01-01-2023 3.00,3.287,2.432,0.855,2.036,1.251,1,Basic Membership
156.209.7.8,01-01-2023 3.05,5.364,2.521,2.843,1.776,3.588,4,Basic Membership
152.260.0.10,01-01-2023 3.10,6.584,3.555,3.029,3.735,2.849,2,Basic Membership
173.274.12.8,01-01-2023 3.15,6.62,4.237,2.383,3.241,3.379,1,Basic Membership
168.314.3.0,01-01-2023 3.20,4.593,1.516,3.077,1.748,2.845,1,Basic Membership
167.210.11.7,01-01-2023 3.25,5.241,2.673,2.568,2.345,2.896,1,Basic Membership
181.320.0.6,01-01-2023 3.30,5.527,3.04,2.487,2.885,2.642,4,Premium Membership
175.244.6.17,01-01-2023 3.35,6.34,2.79,3.55,3.543,2.797,4,Premium Membership
160.207.20.9,01-01-2023 3.40,4.15,0.872,3.278,2.234,1.916,2,Basic Membership
169.307.1.10,01-01-2023 3.45,6.879,1.995,4.884,4.27,2.609,0,Premium Membership
186.225.18.12,01-01-2023 3.50,5.303,1.856,3.447,3.534,1.769,1,Premium Membership
172.341.12.20,01-01-2023 3.55,5.301,3.87,1.431,1.521,3.78,4,Basic Membership
181.216.12.16,01-01-2023 4.00,4.3,3.139,1.161,2.445,1.855,3,Basic Membership
164.307.10.4,01-01-2023 4.05,4.797,3.454,1.343,2.469,2.328,3,Basic Membership
175.216.17.2,01-01-2023 4.10,5.002,1.351,3.651,1.31,3.692,3,Premium Membership
157.316.19.3,01-01-2023 4.15,6.993,3.986,3.007,3.18,3.813,2,Basic Membership
179.225.20.3,01-01-2023 4.20,5.875,4.054,1.821,3.594,2.281,4,Basic Membership
184.323.8.20,01-01-2023 4.25,5.697,2.507,3.19,1.953,3.744,0,Premium Membership
172.224.13.8,01-01-2023 4.30,4.578,1.373,3.205,1.584,2.994,2,Premium Membership
184.238.20.16,01-01-2023 4.35,5.998,2.699,3.299,2.6,3.398,1,Basic Membership
157.281.14.9,01-01-2023 4.40,5.993,3.116,2.877,3.632,2.361,4,Premium Membership
167.324.3.1,01-01-2023 4.45,4.344,3.171,1.173,2.206,2.138,1,Premium Membership
185.323.5.4,01-01-2023 4.50,6.869,2.885,3.984,3.785,3.084,4,Basic Membership
178.306.6.19,01-01-2023 4.55,5.478,1.315,4.163,1.554,3.924,2,Premium Membership
185.338.2.3,01-01-2023 5.00,5.038,2.066,2.972,2.215,2.823,1,Basic Membership
183.301.4.16,01-01-2023 5.05,9.589,4.411,5.178,3.289,6.3,2,Premium Membership
185.269.20.3,01-01-2023 5.10,9.261,6.205,3.056,2.719,6.542,4,Basic Membership
151.200.12.5,01-01-2023 5.15,11.722,8.088,3.634,5.696,6.026,3,Basic Membership
179.269.9.7,01-01-2023 5.20,11.26,6.306,4.954,6.598,4.662,3,Basic Membership
157.231.17.16,01-01-2023 5.25,11.961,6.459,5.502,5.268,6.693,2,Premium Membership
188.291.10.8,01-01-2023 5.30,10.949,5.475,5.474,3.887,7.062,4,Basic Membership
173.339.17.8,01-01-2023 5.35,12.61,6.431,6.179,6.725,5.885,0,Basic Membership
182.203.12.20,01-01-2023 5.40,10.734,6.762,3.972,5.224,5.51,1,Premium Membership
158.344.7.15,01-01-2023 5.45,11.323,7.02,4.303,4.348,6.975,0,Basic Membership
173.332.10.19,01-01-2023 5.50,10.292,4.631,5.661,4.369,5.923,1,Premium Membership
154.224.14.2,01-01-2023 5.55,8.038,5.466,2.572,3.81,4.228,1,Basic Membership
179.277.18.11,01-01-2023 6.00,8.92,5.887,3.033,4.926,3.994,1,Basic Membership
183.347.19.6,01-01-2023 6.05,10.226,7.567,2.659,6.945,3.281,3,Basic Membership
181.266.16.18,01-01-2023 6.10,12.546,9.033,3.513,9.128,3.418,3,Premium Membership
189.289.4.2,01-01-2023 6.15,10.925,2.294,8.631,2.714,8.211,4,Premium Membership
175.288.1.11,01-01-2023 6.20,10.712,7.927,2.785,4.649,6.063,3,Basic Membership
179.219.7.11,01-01-2023 6.25,9.29,5.295,3.995,5,4.29,3,Premium Membership
151.231.12.14,01-01-2023 6.30,12.47,5.487,6.983,4.983,7.487,2,Premium Membership
169.228.4.3,01-01-2023 6.35,10.57,5.285,5.285,3.065,7.505,4,Basic Membership
184.311.4.20,01-01-2023 6.40,12.158,4.985,7.173,5.891,6.267,1,Basic Membership
158.308.19.15,01-01-2023 6.45,11.629,8.257,3.372,5.275,6.354,1,Basic Membership
169.272.2.8,01-01-2023 6.50,11.424,8.225,3.199,6.539,4.885,4,Basic Membership
160.347.12.7,01-01-2023 6.55,8.019,3.448,4.571,4.763,3.256,0,Premium Membership
189.340.3.2,01-01-2023 7.00,10.787,4.638,6.149,5.556,5.231,2,Basic Membership
176.349.14.8,01-01-2023 7.05,11.173,3.017,8.156,3.569,7.604,0,Premium Membership
151.313.18.9,01-01-2023 7.10,9.244,3.605,5.639,3.519,5.725,3,Premium Membership
152.217.12.16,01-01-2023 7.15,12.389,5.451,6.938,5.793,6.596,2,Basic Membership
184.252.17.11,01-01-2023 7.20,11.572,6.365,5.207,4.82,6.752,0,Premium Membership
159.289.19.8,01-01-2023 7.25,8.241,2.555,5.686,5.163,3.078,0,Basic Membership
152.315.3.17,01-01-2023 7.30,11.581,7.18,4.401,8.074,3.507,1,Basic Membership
167.336.11.13,01-01-2023 7.35,8.53,5.459,3.071,4.337,4.193,0,Premium Membership
188.324.2.12,01-01-2023 7.40,10.386,2.181,8.205,5.565,4.821,0,Basic Membership
182.321.3.0,01-01-2023 7.45,8.892,4.001,4.891,4.957,3.935,4,Premium Membership
173.318.1.11,01-01-2023 7.50,11.361,6.476,4.885,5.598,5.763,2,Premium Membership
190.298.19.15,01-01-2023 7.55,8.353,5.68,2.673,3.284,5.069,4,Basic Membership
185.312.15.15,01-01-2023 8.00,11.051,2.21,8.841,7.669,3.382,4,Basic Membership
163.206.19.20,01-01-2023 8.05,12.223,2.445,9.778,5.036,7.187,4,Basic Membership
187.286.5.16,01-01-2023 8.10,11.656,2.448,9.208,4.718,6.938,4,Basic Membership
177.205.13.1,01-01-2023 8.15,12.073,7.727,4.346,6.756,5.317,3,Premium Membership
168.330.2.14,01-01-2023 8.20,12.126,2.546,9.58,5.909,6.217,4,Basic Membership
168.281.13.18,01-01-2023 8.25,10.561,2.535,8.026,3.151,7.41,2,Basic Membership
160.314.14.17,01-01-2023 8.30,8.29,3.813,4.477,4.483,3.807,3,Basic Membership
178.315.13.1,01-01-2023 8.35,11.939,4.656,7.283,3.052,8.887,2,Premium Membership
165.213.3.0,01-01-2023 8.40,11.18,3.13,8.05,6.798,4.382,4,Basic Membership
153.259.20.10,01-01-2023 8.45,8.914,2.05,6.864,4.329,4.585,1,Basic Membership
169.286.3.20,01-01-2023 8.50,8.336,5.502,2.834,5.003,3.333,4,Basic Membership
181.244.13.3,01-01-2023 8.55,9.408,5.174,4.234,6.562,2.846,0,Basic Membership
177.328.3.0,01-01-2023 9.00,12.432,7.086,5.346,8.63,3.802,4,Premium Membership
186.349.1.4,01-01-2023 9.05,11.178,6.819,4.359,3.787,7.391,4,Basic Membership
172.215.7.6,01-01-2023 9.10,9.42,2.543,6.877,2.734,6.686,3,Premium Membership
159.311.1.11,01-01-2023 9.15,9.17,6.052,3.118,5.234,3.936,1,Basic Membership
163.206.19.20,01-01-2023 9.20,12.474,7.983,4.491,5.014,7.46,2,Basic Membership
186.210.18.6,01-01-2023 9.25,8.575,3.859,4.716,2.838,5.737,2,Premium Membership
156.215.16.10,01-01-2023 9.30,8.128,1.707,6.421,2.687,5.441,2,Premium Membership
155.297.9.5,01-01-2023 9.35,9.241,5.914,3.327,5.807,3.434,1,Basic Membership
182.321.3.0,01-01-2023 9.40,12.592,8.814,3.778,7.542,5.05,4,Premium Membership
165.207.19.3,01-01-2023 9.45,9.106,6.647,2.459,3.217,5.889,0,Basic Membership
186.202.9.11,01-01-2023 9.50,9.915,3.272,6.643,5.723,4.192,3,Premium Membership
177.312.6.15,01-01-2023 9.55,12.745,7.392,5.353,4.234,8.511,4,Basic Membership
150.336.8.8,01-01-2023 10.00,10.947,4.707,6.24,4.742,6.205,0,Basic Membership
157.227.11.13,01-01-2023 10.05,9.257,3.703,5.554,2.222,7.035,2,Premium Membership
179.269.9.7,01-01-2023 10.10,11.243,3.823,7.42,5.3,5.943,4,Basic Membership
183.226.1.7,01-01-2023 10.15,11.174,7.822,3.352,8.179,2.995,4,Basic Membership
182.311.11.12,01-01-2023 10.20,11.39,2.278,9.112,3.736,7.654,4,Basic Membership
169.336.16.1,01-01-2023 10.25,12.955,5.571,7.384,3.389,9.566,4,Basic Membership
150.251.5.18,01-01-2023 10.30,10.251,4.818,5.433,5.165,5.086,0,Basic Membership
178.303.3.20,01-01-2023 10.35,12.37,5.072,7.298,3.435,8.935,0,Basic Membership
164.307.10.4,01-01-2023 10.40,10.981,3.953,7.028,4.085,6.896,2,Basic Membership
165.312.14.8,01-01-2023 10.45,8.071,5.892,2.179,4.265,3.806,3,Basic Membership
155.237.15.11,01-01-2023 10.50,9.192,4.872,4.32,2.926,6.266,0,Basic Membership
172.345.2.7,01-01-2023 10.55,10.369,2.903,7.466,5.164,5.205,4,Premium Membership
161.219.18.11,01-01-2023 11.00,8.234,3.541,4.693,3.403,4.831,1,Basic Membership
163.247.20.4,01-01-2023 11.05,9.553,2.675,6.878,6.209,3.344,0,Basic Membership
165.217.6.18,01-01-2023 11.10,8.046,2.092,5.954,1.881,6.165,0,Basic Membership
190.345.20.3,01-01-2023 11.15,7.839,3.292,4.547,3.212,4.627,3,Basic Membership
171.278.17.11,01-01-2023 11.20,9.648,5.789,3.859,3.686,5.962,0,Basic Membership
161.211.20.11,01-01-2023 11.25,8.091,3.398,4.693,4.436,3.655,1,Basic Membership
186.316.17.17,01-01-2023 11.30,8.878,5.416,3.462,3.58,5.298,2,Basic Membership
168.275.7.2,01-01-2023 11.35,9.756,5.268,4.488,5.063,4.693,0,Basic Membership
164.225.3.19,01-01-2023 11.40,8.023,1.765,6.258,3.488,4.535,4,Basic Membership
158.299.10.17,01-01-2023 11.45,9.356,4.21,5.146,5.908,3.448,1,Basic Membership
171.267.15.15,01-01-2023 11.50,9.058,5.797,3.261,4.507,4.551,3,Premium Membership
184.311.4.20,01-01-2023 11.55,9.616,4.039,5.577,3.987,5.629,2,Basic Membership
166.310.6.10,01-01-2023 12.00,9.733,2.823,6.91,2.721,7.012,1,Basic Membership
175.205.15.9,01-01-2023 12.05,8.916,3.834,5.082,2.46,6.456,0,Basic Membership
170.310.2.2,01-01-2023 12.10,9.594,3.838,5.756,4.989,4.605,3,Basic Membership
163.262.7.19,01-01-2023 12.15,8.816,3.791,5.025,5.177,3.639,4,Premium Membership
189.289.1.8,01-01-2023 12.20,7.248,3.986,3.262,3.203,4.045,2,Premium Membership
157.230.20.10,01-01-2023 12.25,8.558,3.338,5.22,3.333,5.225,1,Basic Membership
155.227.3.4,01-01-2023 12.30,7.821,4.849,2.972,5.221,2.6,4,Basic Membership
181.250.7.9,01-01-2023 12.35,8.075,2.665,5.41,3.237,4.838,1,Basic Membership
176.324.14.2,01-01-2023 12.40,7.125,3.349,3.776,2.737,4.388,3,Premium Membership
171.211.12.18,01-01-2023 12.45,7.545,3.169,4.376,4.301,3.244,3,Premium Membership
171.324.18.18,01-01-2023 12.50,9.833,6.096,3.737,4.746,5.087,3,Basic Membership
166.281.12.16,01-01-2023 12.55,9.243,3.143,6.1,4.655,4.588,0,Premium Membership
159.225.6.3,01-01-2023 13.00,9.414,2.73,6.684,5.284,4.13,1,Premium Membership
175.327.1.17,01-01-2023 13.05,7.439,2.529,4.91,3.285,4.154,4,Basic Membership
172.305.7.11,01-01-2023 13.10,7.912,3.244,4.668,3.132,4.78,1,Basic Membership
184.264.11.15,01-01-2023 13.15,8.571,3.343,5.228,3.342,5.229,1,Basic Membership
167.255.8.7,01-01-2023 13.20,8.973,5.204,3.769,6.15,2.823,4,Premium Membership
158.313.10.17,01-01-2023 13.25,7.32,4.978,2.342,2.975,4.345,0,Basic Membership
183.205.6.18,01-01-2023 13.30,7.899,4.818,3.081,3.235,4.664,4,Premium Membership
167.237.16.2,01-01-2023 13.35,7.823,2.347,5.476,2.542,5.281,1,Premium Membership
167.207.14.19,01-01-2023 13.40,7.394,4.88,2.514,3.625,3.769,2,Premium Membership
179.255.4.6,01-01-2023 13.45,9.849,6.303,3.546,2.872,6.977,1,Premium Membership
189.307.2.2,01-01-2023 13.50,9.504,5.702,3.802,4.771,4.733,4,Basic Membership
168.312.1.11,01-01-2023 13.55,7.255,3.773,3.482,2.801,4.454,1,Premium Membership
176.234.12.1,01-01-2023 14.00,9.781,6.455,3.326,5.786,3.995,4,Basic Membership
155.271.6.12,01-01-2023 14.05,11.88,6.296,5.584,3.598,8.282,1,Premium Membership
161.214.11.0,01-01-2023 14.10,12.428,5.468,6.96,5.165,7.263,2,Premium Membership
162.324.14.13,01-01-2023 14.15,11.713,7.262,4.451,6.065,5.648,4,Premium Membership
175.205.15.9,01-01-2023 14.20,12.639,3.16,9.479,5.024,7.615,1,Basic Membership
180.218.6.17,01-01-2023 14.25,13.392,3.348,10.044,6.428,6.964,3,Basic Membership
163.316.9.1,01-01-2023 14.30,12.837,3.979,8.858,5.164,7.673,2,Premium Membership
168.201.13.4,01-01-2023 14.35,15.764,4.414,11.35,4.59,11.174,4,Basic Membership
154.321.18.17,01-01-2023 14.40,13.246,3.576,9.67,5.008,8.238,3,Basic Membership
174.344.3.9,01-01-2023 14.45,14.753,5.311,9.442,8.604,6.149,2,Premium Membership
166.234.6.16,01-01-2023 14.50,12.603,5.797,6.806,3.68,8.923,0,Premium Membership
178.308.16.15,01-01-2023 14.55,11.286,2.596,8.69,7.408,3.878,2,Basic Membership
178.249.19.8,01-01-2023 15.00,14.629,10.679,3.95,6.639,7.99,2,Basic Membership
159.309.5.20,01-01-2023 15.05,16.46,8.559,7.901,5.537,10.923,4,Basic Membership
189.221.12.15,01-01-2023 15.10,19.028,4.947,14.081,8.707,10.321,4,Basic Membership
157.300.6.6,01-01-2023 15.15,15.365,7.836,7.529,7.475,7.89,4,Basic Membership
173.318.1.11,01-01-2023 15.20,16.982,10.699,6.283,8.848,8.134,2,Premium Membership
166.248.12.10,01-01-2023 15.25,16.023,3.205,12.818,7.755,8.268,4,Premium Membership
158.268.9.9,01-01-2023 15.30,18.177,8.361,9.816,9.946,8.231,4,Premium Membership
169.219.2.17,01-01-2023 15.35,15.55,9.797,5.753,7.05,8.5,4,Premium Membership
168.346.0.10,01-01-2023 15.40,15.678,4.39,11.288,6.284,9.394,3,Basic Membership
169.217.14.15,01-01-2023 15.45,15.948,8.293,7.655,10.219,5.729,3,Basic Membership
158.277.9.13,01-01-2023 15.50,15.044,5.115,9.929,7.227,7.817,2,Basic Membership
168.277.12.3,01-01-2023 15.55,15.032,7.366,7.666,8.074,6.958,1,Basic Membership
159.281.8.3,01-01-2023 16.00,18.377,6.983,11.394,8.336,10.041,0,Premium Membership
177.229.14.17,01-01-2023 16.05,16.141,10.007,6.134,6.45,9.691,3,Premium Membership
163.313.19.5,01-01-2023 16.10,19.716,4.14,15.576,5.022,14.694,4,Basic Membership
166.310.6.10,01-01-2023 16.15,18.243,12.588,5.655,5.006,13.237,3,Basic Membership
160.256.7.14,01-01-2023 16.20,17.459,8.206,9.253,4.909,12.55,4,Basic Membership
158.236.10.6,01-01-2023 16.25,19.166,4.217,14.949,9.506,9.66,0,Basic Membership
163.253.6.2,01-01-2023 16.30,15.533,10.407,5.126,7.109,8.424,0,Basic Membership
186.206.13.18,01-01-2023 16.35,16.503,7.426,9.077,6.337,10.166,2,Basic Membership
168.310.5.10,01-01-2023 16.40,18.222,7.107,11.115,9.692,8.53,0,Premium Membership
180.305.17.2,01-01-2023 16.45,18.272,13.521,4.751,9.929,8.343,1,Basic Membership
151.336.8.3,01-01-2023 16.50,18.69,7.476,11.214,9.121,9.569,4,Basic Membership
181.254.18.20,01-01-2023 16.55,19.983,13.788,6.195,5.899,14.084,3,Basic Membership
170.203.16.20,01-01-2023 17.00,15.705,11.151,4.554,10.675,5.03,1,Basic Membership
173.316.17.18,01-01-2023 17.05,18.237,7.842,10.395,7.556,10.681,1,Basic Membership
156.211.8.7,01-01-2023 17.10,18.231,4.558,13.673,9.981,8.25,3,Premium Membership
150.336.8.8,01-01-2023 17.15,17.699,11.681,6.018,12.499,5.2,0,Basic Membership
158.236.10.6,01-01-2023 17.20,19.175,7.287,11.888,11.494,7.681,3,Basic Membership
181.270.11.12,01-01-2023 17.25,16.725,7.694,9.031,6.914,9.811,4,Basic Membership
184.209.0.14,01-01-2023 17.30,15.077,3.468,11.609,4.95,10.127,4,Basic Membership
172.292.20.8,01-01-2023 17.35,19.502,14.626,4.876,9.897,9.605,4,Basic Membership
150.301.11.5,01-01-2023 17.40,18.226,9.113,9.113,5.741,12.485,1,Premium Membership
160.233.9.2,01-01-2023 17.45,18.831,9.792,9.039,9.634,9.197,2,Basic Membership
185.281.11.10,01-01-2023 17.50,18.104,5.793,12.311,12.122,5.982,2,Premium Membership
181.279.0.4,01-01-2023 17.55,15.665,4.23,11.435,5.041,10.624,4,Basic Membership
187.226.9.0,01-01-2023 18.00,18.096,4.343,13.753,5.118,12.978,4,Basic Membership
171.344.20.0,01-01-2023 18.05,18.943,13.639,5.304,7.229,11.714,3,Basic Membership
180.311.18.11,01-01-2023 18.10,17.356,10.587,6.769,7.923,9.433,3,Premium Membership
154.248.3.6,01-01-2023 18.15,16.17,5.498,10.672,6.112,10.058,3,Premium Membership
165.277.15.13,01-01-2023 18.20,19.425,10.101,9.324,8.648,10.777,3,Basic Membership
187.341.13.6,01-01-2023 18.25,15.875,8.096,7.779,8.768,7.107,3,Basic Membership
178.338.12.20,01-01-2023 18.30,17.983,7.013,10.97,9.146,8.837,4,Basic Membership
184.217.4.18,01-01-2023 18.35,16.048,4.012,12.036,7.904,8.144,2,Premium Membership
190.331.1.20,01-01-2023 18.40,17.22,5.855,11.365,10.397,6.823,3,Premium Membership
161.267.14.5,01-01-2023 18.45,18.759,7.316,11.443,8.894,9.865,2,Basic Membership
174.290.0.15,01-01-2023 18.50,15.762,5.201,10.561,6.89,8.872,1,Premium Membership
184.209.0.14,01-01-2023 18.55,18.338,7.152,11.186,3.851,14.487,1,Basic Membership
186.349.1.4,01-01-2023 19.00,15.725,3.302,12.423,9.712,6.013,4,Basic Membership
160.265.17.9,01-01-2023 19.05,15.842,3.644,12.198,5.211,10.631,3,Basic Membership
172.247.11.11,01-01-2023 19.10,12.916,5.037,7.879,4.142,8.774,3,Basic Membership
190.219.1.4,01-01-2023 19.15,14.28,8.14,6.14,6.203,8.077,3,Premium Membership
171.267.15.15,01-01-2023 19.20,14.512,5.224,9.288,10.222,4.29,1,Premium Membership
162.221.15.14,01-01-2023 19.25,12.427,7.332,5.095,5.182,7.245,1,Basic Membership
176.298.5.10,01-01-2023 19.30,13.701,8.632,5.069,6.254,7.447,4,Basic Membership
179.239.20.1,01-01-2023 19.35,15.834,10.925,4.909,5.308,10.526,1,Basic Membership
177.318.7.18,01-01-2023 19.40,12.304,3.568,8.736,5.206,7.098,3,Basic Membership
167.272.4.0,01-01-2023 19.45,13.233,8.998,4.235,5.378,7.855,0,Basic Membership
154.302.5.20,01-01-2023 19.50,13.363,4.944,8.419,4.805,8.558,4,Basic Membership
152.331.12.9,01-01-2023 19.55,13.618,4.085,9.533,7.994,5.624,3,Premium Membership
163.307.10.6,01-01-2023 20.00,12.613,5.676,6.937,4.736,7.877,2,Premium Membership
161.204.16.2,01-01-2023 20.05,12.927,4.654,8.273,7.12,5.807,1,Basic Membership
177.253.2.6,01-01-2023 20.10,13.408,3.754,9.654,4.698,8.71,2,Basic Membership
168.310.7.8,01-01-2023 20.15,14.79,3.993,10.797,8.458,6.332,1,Basic Membership
158.244.6.0,01-01-2023 20.20,15.225,3.806,11.419,8.488,6.737,2,Basic Membership
167.255.8.7,01-01-2023 20.25,13.054,7.963,5.091,3.2,9.854,0,Premium Membership
150.265.7.13,01-01-2023 20.30,14.2,4.402,9.798,8.96,5.24,3,Basic Membership
171.215.13.15,01-01-2023 20.35,14.783,7.391,7.392,6.431,8.352,4,Basic Membership
181.337.1.18,01-01-2023 20.40,15.001,6.75,8.251,7.11,7.891,3,Basic Membership
168.314.3.0,01-01-2023 20.45,15.284,4.28,11.004,10.913,4.371,0,Basic Membership
175.323.19.7,01-01-2023 20.50,13.705,5.619,8.086,5.53,8.175,4,Basic Membership
184.314.15.14,01-01-2023 20.55,13.322,9.059,4.263,5.995,7.327,2,Basic Membership
163.223.0.20,01-01-2023 21.00,15.611,5.308,10.303,9.882,5.729,3,Basic Membership
156.297.5.8,01-01-2023 21.05,12.124,8.487,3.637,3.189,8.935,0,Premium Membership
161.304.1.11,01-01-2023 21.10,12.78,6.646,6.134,5.173,7.607,1,Basic Membership
164.335.14.6,01-01-2023 21.15,14.869,9.07,5.799,5.655,9.214,3,Premium Membership
169.219.2.17,01-01-2023 21.20,12.449,3.361,9.088,6.831,5.618,3,Premium Membership
160.341.4.4,01-01-2023 21.25,13.937,4.042,9.895,8.403,5.534,0,Basic Membership
185.333.16.14,01-01-2023 21.30,15.916,10.027,5.889,6.884,9.032,1,Basic Membership
172.215.7.6,01-01-2023 21.35,12.36,8.528,3.832,4.756,7.604,3,Premium Membership
164.271.14.0,01-01-2023 21.40,15.487,6.505,8.982,8.109,7.378,1,Basic Membership
160.265.17.9,01-01-2023 21.45,13.785,4.136,9.649,8.864,4.921,1,Basic Membership
189.318.7.20,01-01-2023 21.50,12.101,6.898,5.203,6.011,6.09,3,Basic Membership
163.350.20.2,01-01-2023 21.55,12.325,6.286,6.039,5.307,7.018,3,Premium Membership
153.225.11.14,01-01-2023 22.00,15.138,4.996,10.142,8.63,6.508,4,Premium Membership
186.333.10.20,01-01-2023 22.05,13.858,5.543,8.315,3.797,10.061,3,Premium Membership
156.211.8.7,01-01-2023 22.10,14.711,9.121,5.59,7.979,6.732,4,Premium Membership
153.201.2.10,01-01-2023 22.15,14.986,10.041,4.945,4.587,10.399,1,Premium Membership
164.216.19.15,01-01-2023 22.20,14.015,5.466,8.549,4.188,9.827,2,Premium Membership
181.258.20.16,01-01-2023 22.25,12.614,5.298,7.316,5.119,7.495,1,Basic Membership
169.219.2.17,01-01-2023 22.30,13.928,9.75,4.178,6.964,6.964,4,Premium Membership
173.295.6.8,01-01-2023 22.35,10.044,3.515,6.529,4.434,5.61,4,Basic Membership
188.312.7.9,01-01-2023 22.40,14.022,6.029,7.993,5.575,8.447,2,Premium Membership
163.283.5.7,01-01-2023 22.45,11.956,4.782,7.174,5.811,6.145,0,Basic Membership
156.244.17.4,01-01-2023 22.50,11.77,5.885,5.885,4.943,6.827,4,Basic Membership
168.237.17.6,01-01-2023 22.55,13.018,4.426,8.592,5.257,7.761,2,Basic Membership
170.319.14.18,01-01-2023 23.00,11.221,4.825,6.396,5.08,6.141,3,Premium Membership
184.237.20.9,01-01-2023 23.05,7.101,5.255,1.846,4.44,2.661,0,Premium Membership
166.344.6.17,01-01-2023 23.10,5.121,3.738,1.383,1.374,3.747,2,Basic Membership
181.244.13.19,01-01-2023 23.15,7.805,5.698,2.107,2.116,5.689,3,Premium Membership
170.236.11.0,01-01-2023 23.20,8.033,4.016,4.017,2.129,5.904,2,Basic Membership
156.233.15.16,01-01-2023 23.25,5.821,4.133,1.688,2.421,3.4,2,Basic Membership
171.228.0.20,01-01-2023 23.30,7.215,2.237,4.978,3.128,4.087,1,Premium Membership
156.233.15.16,01-01-2023 23.35,4.284,1.671,2.613,1.066,3.218,1,Basic Membership
174.299.3.9,01-01-2023 23.40,3.736,2.13,1.606,2.214,1.522,0,Basic Membership
162.209.18.15,01-01-2023 23.45,3.32,1.228,2.092,2.029,1.291,4,Basic Membership
176.317.15.16,01-01-2023 23.50,4.886,1.075,3.811,1.927,2.959,4,Basic Membership
176.349.2.6,01-01-2023 23.55,4.054,1.257,2.797,2.509,1.545,4,Basic Membership
158.291.0.8,02-01-2023 0.00,3.644,1.203,2.441,1.912,1.732,0,Basic Membership
186.266.0.11,02-01-2023 0.05,4.467,2.77,1.697,1.204,3.263,3,Basic Membership
173.302.19.13,02-01-2023 0.10,4.546,1.546,3,1.657,2.889,4,Basic Membership
